epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.178,0.97422,2.09796,1.03895,0.66477,0.84326,0.7621,0.58887,0.85711,1.97774,1.03511,0.00055215,0.00055215,0.00055215
2,226.749,0.9321,1.37592,1.02772,0.6531,0.73052,0.69307,0.5212,0.89485,1.36977,1.05009,0.00107126,0.00107126,0.00107126
3,355.072,0.88653,1.10173,1.01426,0.6996,0.87313,0.77942,0.63963,0.777,1.43214,1.00085,0.00155369,0.00155369,0.00155369
4,487.506,0.86489,0.98338,1.01183,0.71068,0.76898,0.76661,0.59817,0.8492,0.88396,1.03117,0.00150197,0.00150197,0.00150197
5,610.002,0.84879,0.92045,1.00501,0.7218,0.86405,0.79144,0.65912,0.74509,0.78207,0.9835,0.00144696,0.00144696,0.00144696
6,724.471,0.79096,0.8433,0.985,0.73329,0.86622,0.79879,0.68811,0.64263,0.7365,0.93749,0.00139195,0.00139195,0.00139195
7,831.054,0.76375,0.82911,0.98318,0.71305,0.87517,0.78684,0.67101,0.64423,0.76603,0.94553,0.00133693,0.00133693,0.00133693
8,936.356,0.72853,0.80588,0.96158,0.75037,0.84394,0.81411,0.70698,0.65854,0.68365,0.94126,0.00128192,0.00128192,0.00128192
9,1039.58,0.71184,0.76918,0.95871,0.70017,0.8964,0.80686,0.69709,0.65541,0.6759,0.94451,0.00122691,0.00122691,0.00122691
10,1145.09,0.6884,0.74283,0.9463,0.74217,0.87074,0.82946,0.72003,0.61898,0.67542,0.93897,0.0011719,0.0011719,0.0011719
11,1250.28,0.68059,0.73431,0.94225,0.7588,0.87783,0.85276,0.75591,0.58721,0.61059,0.91962,0.00111689,0.00111689,0.00111689
12,1358.29,0.6633,0.70543,0.93433,0.74866,0.88045,0.84983,0.75979,0.58487,0.61105,0.91257,0.00106188,0.00106188,0.00106188
13,1467.14,0.63687,0.70403,0.92748,0.77283,0.8566,0.84118,0.75263,0.56804,0.58931,0.91236,0.00100687,0.00100687,0.00100687
14,1572.93,0.62572,0.68786,0.92393,0.77414,0.87125,0.81142,0.72625,0.5428,0.59761,0.90881,0.000951857,0.000951857,0.000951857
15,1678,0.61962,0.67952,0.92721,0.75832,0.87858,0.82051,0.72999,0.58047,0.59802,0.92051,0.000896846,0.000896846,0.000896846
16,1783.49,0.60719,0.67821,0.9175,0.75564,0.87379,0.85038,0.76855,0.53591,0.57865,0.90503,0.000841835,0.000841835,0.000841835
17,1890.07,0.59543,0.65035,0.91985,0.77613,0.86928,0.8417,0.76274,0.53303,0.57326,0.90088,0.000786824,0.000786824,0.000786824
18,2000.81,0.59352,0.6379,0.92046,0.77695,0.886,0.85388,0.77711,0.52205,0.54912,0.8957,0.000731813,0.000731813,0.000731813
19,2114.78,0.57262,0.63195,0.90738,0.76247,0.86758,0.84552,0.76827,0.51276,0.5532,0.89538,0.000676802,0.000676802,0.000676802
20,2229.01,0.57704,0.63191,0.91181,0.79598,0.80815,0.8413,0.76408,0.51892,0.57065,0.88925,0.000621791,0.000621791,0.000621791
21,2344.31,0.51323,0.55525,0.87646,0.77292,0.88331,0.85855,0.78856,0.50298,0.59744,0.88642,0.00056678,0.00056678,0.00056678
22,2459.06,0.49588,0.56637,0.86578,0.78738,0.85905,0.86118,0.78756,0.51493,0.55066,0.88812,0.000511769,0.000511769,0.000511769
23,2570.53,0.49388,0.52054,0.87189,0.77617,0.90988,0.85236,0.77854,0.49574,0.53011,0.88221,0.000456758,0.000456758,0.000456758
24,2682.77,0.48202,0.51465,0.86143,0.80031,0.8705,0.86866,0.80076,0.49136,0.5231,0.88096,0.000401747,0.000401747,0.000401747
25,2796.1,0.46966,0.55929,0.85564,0.74657,0.89811,0.84904,0.7861,0.48685,0.513,0.88314,0.000346736,0.000346736,0.000346736
26,2906.88,0.46423,0.49015,0.85799,0.79973,0.82234,0.85435,0.78976,0.47174,0.5209,0.87818,0.000291725,0.000291725,0.000291725
27,3017.21,0.44878,0.475,0.84983,0.81812,0.84597,0.8626,0.80005,0.46538,0.51174,0.87252,0.000236714,0.000236714,0.000236714
28,3127.23,0.44274,0.46054,0.85182,0.79299,0.86742,0.87182,0.81242,0.45627,0.49796,0.86955,0.000181703,0.000181703,0.000181703
29,3236.88,0.43551,0.45275,0.84987,0.81457,0.85617,0.87094,0.8098,0.45692,0.49791,0.86977,0.000126692,0.000126692,0.000126692
30,3350.61,0.42111,0.44394,0.84166,0.80796,0.85485,0.87044,0.8131,0.4516,0.48707,0.86815,7.1681e-05,7.1681e-05,7.1681e-05
